location;quadrat;specimen;mussel.species;shell.length;shell.area;sex;valve;inf.lvl;inf.percent;mobility;higher group;epibiont;position;basibiont;abundance;cover;cover.percent;biomass;id pic;notes
Kasouga;3;29;Perna perna;82;2003,5;F;L;D;75-100;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;201,8;10,07;29,2;DSC1269;
Kasouga;3;29;Perna perna;82;1982,5;F;R;C;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;25,289;1,28;10,614;DSC1268;
Kasouga;3;29;Perna perna;82;1982,5;F;R;C;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;1;0,3;0,02;0;DSC1268;
Kasouga;3;29;Perna perna;82;1982,5;F;R;C;75-100;sessile;Sedentaria;Spirorbis spp.;infested;Perna perna;3;0,9;0,05;0;DSC1268;
Kasouga;3;30;Perna perna;86;2076,5;F;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;12,2;0,59;7,804;DSC1271;
Kasouga;3;30;Perna perna;86;2076,5;F;L;D;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;2;2,1;0,1;;DSC1271;
Kasouga;3;30;Perna perna;86;2076,5;F;L;D;75-100;sessile;Rhodophyta;Corallinales;non infested;Perna perna;1;37,2;1,79;;DSC1271;
Kasouga;3;30;Perna perna;86;2044,4;F;R;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;2;9,8;0,48;8,6;DSC1270;
Kasouga;3;30;Perna perna;86;2044,4;F;R;D;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;1;2,7;0,13;;DSC1270;
Kasouga;3;31;Perna perna;63;1317,5;F;L;C;75-100;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1273;
Kasouga;3;31;Perna perna;63;1275;F;R;C;75-100;sessile;Bivalvia;Perna perna;infested;Perna perna;1;28,8;2,26;84,9;DSC1272;
Kasouga;3;31;Perna perna;63;1275;F;R;C;75-100;sessile;Cirripedia;Chthamalus dentatus;II epibiosis;Perna perna;2;5,7;0,45;;DSC1272;
Kasouga;3;31;Perna perna;63;1275;F;R;C;75-100;sessile;Sedentaria;Spirorbis spp.;infested;Perna perna;1;1;0,08;0;DSC1272;
Kasouga;3;32;Perna perna;64;1315,3;F;L;D;75-100;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1275;
Kasouga;3;32;Perna perna;64;1283,4;F;R;D;75-100;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1274;
Kasouga;3;33;Perna perna;77;1713,2;N;L;C;75-100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;1;2,1;0,12;;DSC1277;
Kasouga;3;33;Perna perna;77;1713,2;N;L;C;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;5;11,1;0,65;;DSC1277;
Kasouga;3;33;Perna perna;77;1713,2;N;L;C;75-100;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;4;0;0;0;DSC1277;
Kasouga;3;33;Perna perna;77;1713,2;N;L;C;75-100;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;782,5;45,67;196,9;DSC1277;
Kasouga;3;33;Perna perna;77;1692;N;R;C;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;1;3;0,18;;DSC1276;
Kasouga;3;33;Perna perna;77;1692;N;R;C;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;2;0;0;0;DSC1276;
Kasouga;3;33;Perna perna;77;1692;N;R;C;75-100;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;3;353,5;20,89;77,6;DSC1276;
Kasouga;3;34;Perna perna;75;1635;M;L;D;75-100;sessile;Bivalvia;Perna perna;non infested;Perna perna;1;2,7;0,17;2;DSC1279;
Kasouga;3;34;Perna perna;75;1635;M;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;3,2;0,2;3,2;DSC1279;
Kasouga;3;34;Perna perna;75;1635;M;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;2;2;0,12;0;DSC1279;
Kasouga;3;34;Perna perna;75;1635;M;L;D;75-100;sessile;Cirripedia;Tetraclita serrata;non infested;Perna perna;1;34,3;2,1;2,8;DSC1279;
Kasouga;3;34;Perna perna;75;1583,2;M;R;D;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;2;3,2;0,2;;DSC1278;
Kasouga;3;34;Perna perna;75;1583,2;M;R;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;3;0,5;0,03;0;DSC1278;
Kasouga;3;35;Perna perna;85;1934,4;M;L;C;100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;2;5,8;0,3;;DSC1281;
Kasouga;3;35;Perna perna;85;1934,4;M;L;C;100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;7;2,4;0,12;0;DSC1281;
Kasouga;3;35;Perna perna;85;1934,4;M;L;C;100;sessile;Cirripedia;Tetraclita serrata;infested;Perna perna;1;41,2;2,13;0;DSC1281;
Kasouga;3;35;Perna perna;85;1957;M;R;C;100;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1280;
Kasouga;3;36;Perna perna;69;1324,8;F;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;27,294;2,06;7,804;DSC1283;
Kasouga;3;36;Perna perna;69;1324,8;F;L;D;75-100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;3;10,7;0,81;;DSC1283;
Kasouga;3;36;Perna perna;69;1324,8;F;L;D;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;1;2,4;0,18;;DSC1283;
Kasouga;3;36;Perna perna;69;1324,8;F;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;3;3,6;0,27;0;DSC1283;
Kasouga;3;36;Perna perna;69;1324,8;F;L;D;75-100;sessile;Cirripedia;Tetraclita serrata;infested;Perna perna;1;42,1;3,18;5,9;DSC1283;
Kasouga;3;36;Perna perna;69;1324,8;F;L;D;75-100;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;116,2;8,77;8,5;DSC1283;
Kasouga;3;36;Perna perna;69;1328;F;R;D;100;sessile;Sedentaria;Spirorbis spp.;infested;Perna perna;4;2,1;0,16;0;DSC1282;
Kasouga;3;37;Perna perna;72;1597,2;M;L;C;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;9;13;0,81;0;DSC1285;
